Feature	MeanSHAP	Group
cd_prop_JARVIS_0.9	0.000920679135771507	Sig50
cd_JARVIS_0.99	0.00132411053459272	Sig50
cd_prop_JARVIS_0.99	0.000753569191963473	Sig60
cd_JARVIS_0.999	0.00119684182305647	Sig50
cd_prop_JARVIS_0.999	1.50610538814199e-05	Other
cd_SpliceAI_pred_DS_AG_0.2	0.00157335570048774	Sig50
cd_prop_SpliceAI_pred_DS_AG_0.2	0.00204823768159895	Sig30
cd_SpliceAI_pred_DS_AG_0.5	0.000538747957486133	Sig60
cd_prop_SpliceAI_pred_DS_AG_0.5	0.000214071872136789	Sig80
cd_SpliceAI_pred_DS_AG_0.7	0.000205800887702437	Sig80
cd_prop_SpliceAI_pred_DS_AG_0.7	0.000219675578187305	Sig80
cd_SpliceAI_pred_DS_AL_0.2	0.000133060306976209	Sig90
cd_prop_SpliceAI_pred_DS_AL_0.2	0.000573635884470215	Sig60
cd_SpliceAI_pred_DS_AL_0.5	0.000139896582633574	Sig90
cd_prop_SpliceAI_pred_DS_AL_0.5	0.000619232548353216	Sig60
cd_SpliceAI_pred_DS_AL_0.7	0.000170047603355654	Sig90
cd_prop_SpliceAI_pred_DS_AL_0.7	7.64673146242541e-05	Sig90
cd_SpliceAI_pred_DS_DG_0.2	0.000593108324428836	Sig60
cd_prop_SpliceAI_pred_DS_DG_0.2	0.000265787411630552	Sig80
cd_SpliceAI_pred_DS_DG_0.5	0.000342588121390268	Sig70
cd_prop_SpliceAI_pred_DS_DG_0.5	0.000701591700932622	Sig60
cd_SpliceAI_pred_DS_DG_0.7	0.000137632488818604	Sig90
cd_prop_SpliceAI_pred_DS_DG_0.7	0.000175790609808361	Sig80
cd_SpliceAI_pred_DS_DL_0.2	0.00101833994605295	Sig50
cd_prop_SpliceAI_pred_DS_DL_0.2	0.000588912595197686	Sig60
cd_SpliceAI_pred_DS_DL_0.5	0.00110468811881556	Sig50
cd_prop_SpliceAI_pred_DS_DL_0.5	0.00140967989191891	Sig50
cd_SpliceAI_pred_DS_DL_0.7	0.000915997348050499	Sig50
cd_prop_SpliceAI_pred_DS_DL_0.7	0.000498745484385698	Sig60
cd_max_SpliceAI_pred_0.2	0.000989040494462076	Sig50
cd_prop_max_SpliceAI_pred_0.2	0.000947816370180141	Sig50
cd_max_SpliceAI_pred_0.5	0.000758304463619775	Sig50
cd_prop_max_SpliceAI_pred_0.5	0.00157023089785043	Sig50
cd_max_SpliceAI_pred_0.7	0.000562112275273077	Sig60
cd_prop_max_SpliceAI_pred_0.7	0.000996615744755152	Sig50
cd_ARGFX_8.0	0.00034490110216414	Sig70
cd_prop_ARGFX_8.0	8.12127090590822e-05	Sig90
cd_ARGFX_10.0	0.000339926390684175	Sig70
cd_prop_ARGFX_10.0	6.66702173279656e-05	Other
cd_ARNT2_8.0	0.000398964075001833	Sig70
cd_prop_ARNT2_8.0	8.27184072766688e-05	Sig90
cd_ARNT2_10.0	0.000720586547125677	Sig60
cd_prop_ARNT2_10.0	0.000442847979736361	Sig70
cd_ASCL1_8.0	0.00108946666398998	Sig50
cd_prop_ASCL1_8.0	0.00117075653297295	Sig50
cd_ASCL1_10.0	0.000302900805239595	Sig70
cd_prop_ASCL1_10.0	0.0015640392400373	Sig50
cd_ATF2_8.0	0.000138490260020249	Sig90
cd_prop_ATF2_8.0	0.00019985043659332	Sig80
cd_ATF2_10.0	0.000256348681927435	Sig80
cd_prop_ATF2_10.0	0.00011078975017783	Sig90
cd_ATF3_8.0	0	Other
cd_prop_ATF3_8.0	0	Other
cd_ATF3_10.0	0	Other
cd_prop_ATF3_10.0	0	Other
cd_ATF4_8.0	7.97745395967525e-05	Sig90
cd_prop_ATF4_8.0	0.000142916694658302	Sig90
cd_ATF4_10.0	0.000103884237689485	Sig90
cd_prop_ATF4_10.0	0.000119302989197476	Sig90
cd_ATF6_8.0	0.00014781349463941	Sig90
cd_prop_ATF6_8.0	0.000382357915052661	Sig70
cd_ATF6_10.0	0.000124279143291314	Sig90
cd_prop_ATF6_10.0	9.92543592526668e-05	Sig90
cd_ATF7_8.0	5.47302385489996e-05	Other
cd_prop_ATF7_8.0	7.94485534540756e-05	Sig90
cd_ATF7_10.0	0.00014060823356404	Sig90
cd_prop_ATF7_10.0	7.18686293244692e-06	Other
cd_ATOH7_8.0	6.07148804759969e-05	Other
cd_prop_ATOH7_8.0	0.000203208142819035	Sig80
cd_ATOH7_10.0	0.000137848279865562	Sig90
cd_prop_ATOH7_10.0	0.000202011778894616	Sig80
cd_BACH1_8.0	0.000135785991731411	Sig90
cd_prop_BACH1_8.0	4.11875125048042e-05	Other
cd_BACH1_10.0	0.000167197450644239	Sig90
cd_prop_BACH1_10.0	9.87794260579446e-05	Sig90
cd_BACH2_8.0	3.31399035963783e-05	Other
cd_prop_BACH2_8.0	1.05460655260709e-05	Other
cd_BACH2_10.0	5.82131200980422e-05	Other
cd_prop_BACH2_10.0	7.52967391823466e-05	Sig90
cd_BARX2_8.0	0.000139987233198651	Sig90
cd_prop_BARX2_8.0	0.000799646926970013	Sig50
cd_BARX2_10.0	0.000338915785055945	Sig70
cd_prop_BARX2_10.0	0.000702030480293135	Sig60
cd_BATF_8.0	6.18699842879125e-05	Other
cd_prop_BATF_8.0	2.51009639748773e-06	Other
cd_BATF_10.0	0.000140832450442277	Sig90
cd_prop_BATF_10.0	9.87269002210093e-06	Other
cd_BATF3_8.0	0.000172669184186667	Sig80
